ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-01,19,20,1.24,2.21,0.42,0.15,42.98,89.36,0,0.32
London,GB,51.5074,-0.1278,2025-07-01,19,36,8.62,12.98,12.8,6.17,72.52,110.35,1.03,0.26
New York,US,40.7128,-74.006,2025-07-01,19,40,4.8,5.45,1.59,1.1,85.2,127.87,0.14,0.55
Paris,FR,48.8566,2.3522,2025-07-01,19,42,10,33.34,2.67,0.18,65.62,85.11,0.11,4.3
Tokyo,JP,35.6895,139.6917,2025-07-01,19,37,8.77,18.04,1.86,2.18,75.87,128.57,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,20,20,1.13,1.91,0.39,0.14,42.86,86.69,0,0.26
London,GB,51.5074,-0.1278,2025-07-01,20,32,7.6,11.81,14.28,6.12,67.69,108.27,0.2,0.27
New York,US,40.7128,-74.006,2025-07-01,20,42,5.43,6.19,1.98,1.2,88.12,131.67,0.14,0.53
Paris,FR,48.8566,2.3522,2025-07-01,20,43,10.22,32.82,3.61,0.23,60.49,87.33,0.01,6.07
Tokyo,JP,35.6895,139.6917,2025-07-01,20,37,8.78,16.93,1.9,2.12,75.22,128.86,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,21,20,0.94,1.46,0.32,0.1,42.47,80.19,0,0.18
London,GB,51.5074,-0.1278,2025-07-01,21,30,6.42,10.36,14.38,6.16,62.63,105.56,0,0.32
New York,US,40.7128,-74.006,2025-07-01,21,42,5.5,6.31,2.67,1.2,87.96,135.66,0.13,0.45
Paris,FR,48.8566,2.3522,2025-07-01,21,43,10.41,32.07,4.32,0.27,55.76,89.82,0,7.79
Tokyo,JP,35.6895,139.6917,2025-07-01,21,37,8.88,16.25,1.95,2.05,74.79,129.32,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,22,21,0.77,1.11,0.24,0.08,43.44,73.84,0,0.13
London,GB,51.5074,-0.1278,2025-07-01,22,27,5.21,8.7,14.71,6.16,56.45,103.24,0,0.49
New York,US,40.7128,-74.006,2025-07-01,22,39,5.37,6.14,3.62,1.17,83.39,139.26,0.12,0.38
Paris,FR,48.8566,2.3522,2025-07-01,22,43,10.41,30.74,4.82,0.28,50.06,89.96,0,9.35
Tokyo,JP,35.6895,139.6917,2025-07-01,22,37,8.78,14.71,2.11,2.09,74.44,130.06,0.01,0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,23,21,0.61,0.88,0.18,0.07,45.34,70.59,0,0.1
London,GB,51.5074,-0.1278,2025-07-01,23,23,4.34,7.34,15.77,6.23,49.46,102.69,0,0.71
New York,US,40.7128,-74.006,2025-07-01,23,37,5.26,5.81,4.56,1.2,77.31,142.91,0.07,0.32
Paris,FR,48.8566,2.3522,2025-07-01,23,44,10.51,29.95,4.9,0.27,44.39,90.23,0,10.82
Tokyo,JP,35.6895,139.6917,2025-07-01,23,36,8.67,13.49,2.44,2.16,73.98,131.19,0.03,0.01
Antananarivo,MG,-18.8792,47.5079,2025-07-02,0,23,0.51,0.7,0.14,0.06,47.73,68.84,0,0.09
London,GB,51.5074,-0.1278,2025-07-02,0,20,3.85,6.37,17.1,6.39,42.57,103.42,0,0.95
New York,US,40.7128,-74.006,2025-07-02,0,34,5.09,5.49,4.95,1.16,72.49,144.98,0.02,0.26
Paris,FR,48.8566,2.3522,2025-07-02,0,44,10.57,29.33,4.69,0.25,38.48,89.88,0,11.86
Tokyo,JP,35.6895,139.6917,2025-07-02,0,36,8.76,13.07,2.75,2.29,73.88,132.86,0.05,0.01
Antananarivo,MG,-18.8792,47.5079,2025-07-02,1,23,0.5,0.6,0.12,0.05,49.64,68.06,0,0.09
London,GB,51.5074,-0.1278,2025-07-02,1,17,3.7,5.78,18.4,6.54,36.96,105.5,0,1.09
New York,US,40.7128,-74.006,2025-07-02,1,32,4.87,5.2,4.73,1.04,66.96,144.58,0,0.19
